Rank,Country (or dependent territory),Population,Date,% of world,
56,Madagascar,"22,434,363",1-Jul-14,0.30%,Official estimate
57,Sri Lanka,"20,966,000",1-Jul-15,0.28%,Official estimate
58,Niger,"20,715,000",1-Jul-16,0.28%,UN projection
59,Romania,"19,760,000",1-Jan-16,0.27%,Annual official estimate
60,Burkina Faso,"19,034,397",1-Jul-16,0.26%,Annual official projection
61,Syria,"18,564,000",1-Jul-16,0.25%,UN projection
62,Mali,"18,341,000",1-Jul-16,0.25%,Official annual projection
63,Chile,"18,191,900",1-Jul-16,0.24%,Official annual projection
64,Kazakhstan,"17,753,200",1-May-16,0.24%,Official estimate
65,Netherlands,"17,055,900",14-Oct-16,0.23%,Official population clock
66,Malawi,"16,832,910",1-Jul-16,0.23%,Official annual projection
67,Ecuador,"16,603,700",14-Oct-16,0.22%,Official population clock
68,Guatemala,"16,176,133",1-Jul-15,0.22%,Official estimate
69,Zambia,"15,933,883",1-Jul-16,0.21%,Official annual projection
70,Cambodia,"15,626,444",1-Jul-16,0.21%,Official annual projection
71,Senegal,"14,799,859",2016,0.20%,Official annual projection
72,Chad,"14,497,000",1-Jul-16,0.19%,UN projection
73,Zimbabwe,"14,240,168",1-Jul-16,0.19%,Official annual projection
74,Guinea,"12,947,000",1-Jul-16,0.17%,UN projection
75,South Sudan,"12,131,000",1-Jul-16,0.16%,Official annual projection
76,Rwanda,"11,553,188",1-Jul-16,0.15%,Official projection
77,Belgium,"11,327,986",1-Aug-16,0.15%,Monthly official estimate
78,Cuba,"11,239,004",31-Dec-15,0.15%,Annual official estimate
79,Tunisia,"11,154,400",1-Jul-15,0.15%,Official estimate
80,Somalia,"11,079,000",1-Jul-16,0.15%,UN projection
81,Haiti,"11,078,033",1-Jul-16,0.15%,Official projection
82,Bolivia,"10,985,059",1-Jul-16,0.15%,Official projection
83,Greece,"10,858,018",1-Jan-15,0.15%,Official estimate
84,Benin,"10,653,654",1-Jul-16,0.14%,Official projection
85,Czech Republic,"10,564,866",30-Jun-16,0.14%,Official quarterly estimate
86,Portugal,"10,341,330",31-Dec-15,0.14%,Annual official estimate
87,Burundi,"10,114,505",1-Jul-16,0.14%,Official annual projection
88,Dominican Republic,"10,075,045",1-Jul-16,0.14%,Official projection
89,Sweden,"9,938,648",31-Aug-16,0.13%,Monthly official estimate
90,United Arab Emirates,"9,856,000",1-Jul-16,0.13%,Official annual projection
91,Hungary,"9,823,000",1-Jan-16,0.13%,Annual official estimate
92,Azerbaijan,"9,755,500",1-Jul-16,0.13%,Official estimate
93,Jordan,"9,740,750",14-Oct-16,0.13%,Preliminary 2015 census result
94,Belarus,"9,500,000",1-Jul-16,0.13%,Quarterly official estimate
95,Austria,"8,741,753",1-Jul-16,0.12%,Quarterly provisional figure
96,Honduras,"8,721,014",1-Jul-16,0.12%,Official annual projection
97,Israel,"8,595,880",14-Oct-16,0.12%,Official population clock
98,Tajikistan,"8,551,000",1-Jan-16,0.12%,Official estimate
99,Switzerland,"8,364,100",30-Jun-16,0.11%,Quarterly provisional figure
100,Papua New Guinea,"8,083,700",1-Jul-15,0.11%,Annual official estimate
–,Hong Kong (China),"7,346,700",1-Jul-16,0.10%,Official estimate
101,Bulgaria,"7,153,784",31-Dec-15,0.10%,Official estimate
102,Togo,"7,143,000",1-Jul-16,0.10%,Official estimate
103,Serbia,"7,076,372",1-Jan-16,0.10%,Annual official estimate
104,Sierra Leone,"7,075,641",4-Dec-15,0.10%,Preliminary 2015 census result
105,Paraguay,"6,854,536",2016,0.09%,Official estimate
106,El Salvador,"6,520,675",2016,0.09%,Official estimate
107,Laos,"6,492,400",1-Mar-15,0.09%,Preliminary 2015 census result
108,Libya,"6,385,000",1-Jul-16,0.09%,Official annual projection
109,Nicaragua,"6,262,703",2015,0.08%,Official estimate
110,Kyrgyzstan,"6,088,000",1-Aug-16,0.08%,Official estimate
111,Lebanon,"5,988,000",1-Jul-16,0.08%,UN projection
112,Denmark,"5,724,456",1-Jul-16,0.08%,Quarterly official estimate
113,Singapore,"5,535,000",1-Jul-15,0.07%,Official estimate
114,Finland,"5,498,450",31-Aug-16,0.07%,Monthly official estimate
115,Slovakia,"5,426,252",31-Dec-15,0.07%,Official estimate
116,Eritrea,"5,352,000",1-Jul-16,0.07%,UN projection
117,Norway,"5,236,826",1-Jul-16,0.07%,Quarterly official estimate
118,Central African Republic,"4,998,000",1-Jul-16,0.07%,UN projection
119,Costa Rica,"4,890,379",30-Jun-16,0.07%,Official estimate
–,Palestine,"4,816,503",1-Jul-16,0.07%,Official estimate
120,Ireland,"4,757,976",14-Jul-16,0.06%,Preliminary 2016 census result
121,Turkmenistan,"4,751,120",26-Dec-12,0.06%,Preliminary 2012 census result
122,Republic of the Congo,"4,741,000",1-Jul-16,0.06%,UN projection
123,New Zealand,"4,723,330",14-Oct-16,0.06%,Official population clock
124,Oman,"4,496,760",9-Sep-16,0.06%,Official estimate
125,Croatia,"4,190,669",31-Dec-15,0.06%,Annual official estimate
126,Kuwait,"4,183,658",30-Jun-15,0.06%,Official estimate
127,Liberia,"4,076,530",1-Jul-16,0.06%,Official projection
–,Somaliland (Somalia),"3,850,000",2009,0.05%,Official estimate
128,Panama,"3,814,672",1-Jul-16,0.05%,Official estimate
129,Georgia,"3,720,400",1-Jan-16,0.05%,Annual official estimate
130,Mauritania,"3,718,678",1-Jul-16,0.05%,Annual official projection
131,Moldova,"3,553,100",1-Jan-16,0.05%,Official estimate
132,Bosnia and Herzegovina,"3,531,159",15-Oct-13,0.05%,Final 2013 census result
133,Uruguay,"3,480,222",30-Jun-16,0.05%,Annual official estimate
–,Puerto Rico (U.S.),"3,474,182",1-Jul-15,0.05%,Official estimate
134,Mongolia,"3,110,075",14-Oct-16,0.04%,Official population clock
135,Armenia,"2,995,100",1-Jul-16,0.04%,Quarterly official estimate
136,Albania,"2,886,026",1-Jan-16,0.04%,Annual official estimate
137,Lithuania,"2,859,709",1-Oct-16,0.04%,Monthly official estimate
138,Jamaica,"2,723,246",31-Dec-14,0.04%,Official estimate
139,Qatar,"2,401,598",31-Aug-16,0.03%,Monthly official estimate
140,Namibia,"2,324,388",1-Jul-16,0.03%,Official projection
141,Botswana,"2,230,905",1-Jul-16,0.03%,Official annual projection
142,Macedonia,"2,071,278",31-Dec-15,0.03%,Official estimate
143,Slovenia,"2,063,371",1-Apr-16,0.03%,Official estimate
144,Latvia,"1,957,600",1-Sep-16,0.03%,Monthly official estimate
145,Lesotho,"1,916,000",1-Jul-14,0.03%,Official estimate
146,The Gambia,"1,882,450",15-Apr-13,0.03%,Preliminary 2013 census result
–,Kosovo,"1,836,978",2016,0.03%,Official annual projection
147,Gabon,"1,802,278",5-Oct-13,0.02%,Preliminary 2013 census result
148,Guinea-Bissau,"1,547,777",1-Jul-16,0.02%,Official projection
149,Bahrain,"1,404,900",1-Jul-16,0.02%,Official annual projection
150,Trinidad and Tobago,"1,349,667",1-Jul-15,0.02%,Official estimate
151,Estonia,"1,315,944",1-Jan-16,0.02%,Official estimate
152,Mauritius,"1,262,879",1-Jul-15,0.02%,Official estimate
153,Equatorial Guinea,"1,222,442",4-Jul-15,0.02%,Preliminary 2015 census result
154,East Timor,"1,167,242",11-Jul-15,0.02%,Preliminary 2015 census result
155,Swaziland,"1,132,657",1-Jul-16,0.02%,Official projection
156,Djibouti,"900,000",1-Jul-16,0.01%,UN projection
157,Fiji,"867,000",1-Jul-15,0.01%,Annual official estimate
158,Cyprus,"847,000",31-Dec-14,0.01%,Official estimate
159,Comoros,"806,153",1-Jul-16,0.01%,Official estimate
160,Bhutan,"779,110",14-Oct-16,0.01%,Official population clock
161,Guyana,"746,900",1-Jul-13,0.01%,Official estimate
–,Macau (China),"652,500",30-Jun-16,0.01%,Official quarterly estimate
162,Solomon Islands,"642,000",1-Jul-15,0.01%,Annual official estimate
163,Montenegro,"621,810",1-Jul-14,0.01%,Official estimate
–,Western Sahara,"584,000",1-Jul-16,0.01%,UN projection
164,Luxembourg,"576,200",31-Dec-15,0.01%,Annual official estimate
165,Suriname,"541,638",13-Aug-12,0.01%,Final 2012 census result
166,Cape Verde,"531,239",1-Jul-16,0.01%,Official annual projection
–,Transnistria,"505,153",1-Jan-14,0.01%,Official estimate
167,Malta,"429,344",31-Dec-14,0.01%,Official estimate
168,Brunei,"411,900",1-Jul-14,0.01%,Official estimate
–,Martinique (France),"378,243",1-Jan-15,0.01%,Annual official estimate
169,Bahamas,"378,040",1-Jul-16,0.01%,Official projection
170,Belize,"375,909",1-Apr-16,0.01%,Official estimate
171,Maldives,"344,023",20-Sep-14,0.00%,Preliminary 2014 census result
172,Iceland,"336,060",30-Jun-16,0.00%,Official quarterly estimate
–,Northern Cyprus,"294,396",4-Dec-11,0.00%,2011 census result
173,Barbados,"285,000",1-Jul-16,0.00%,UN projection
174,Vanuatu,"277,500",1-Jul-15,0.00%,Annual official estimate
–,French Polynesia (France),"271,800",31-Dec-14,0.00%,Official estimate
–,New Caledonia (France),"268,767",26-Aug-14,0.00%,Preliminary 2014 census result
–,French Guiana (France),"254,541",1-Jan-15,0.00%,Annual official estimate
–,Abkhazia,"240,705",28-Feb-11,0.00%,2011 census result
–,Mayotte (France),"226,915",1-Jan-15,0.00%,Annual official estimate
175,Samoa,"194,899",1-Jan-16,0.00%,Official projection
176,São Tomé and Príncipe,"187,356",13-May-12,0.00%,2012 census result
177,Saint Lucia,"186,000",1-Jul-16,0.00%,UN projection
–,Guam (U.S.),"184,200",1-Jul-15,0.00%,Annual official estimate
–,Curaçao (Netherlands),"158,986",1-Jan-16,0.00%,Annual official estimate
–,Flag of Nagorno-Karabakh.svg Nagorno-Karabakh Republic,"150,932",2015,0.00%,Preliminary 2015 census result
178,Kiribati,"113,400",1-Jul-15,0.00%,Annual official estimate
–,Aruba (Netherlands),"110,108",31-Dec-15,0.00%,Official quarterly estimate
179,Saint Vincent and the Grenadines,"109,991",12-Jun-12,0.00%,Preliminary 2012 census result
–,United States Virgin Islands (U.S.),"106,000",1-Jul-16,0.00%,UN projection
180,Grenada,"103,328",12-May-11,0.00%,2011 census result
181,Tonga,"103,252",30-Nov-11,0.00%,2011 census result
182,Federated States of Micronesia,"102,800",1-Jul-15,0.00%,Annual official estimate
–,Jersey (UK),"102,700",31-Dec-15,0.00%,Annual official estimate
183,Seychelles,"93,144",31-Dec-15,0.00%,Annual official estimate
184,Antigua and Barbuda,"86,295",27-May-11,0.00%,Preliminary 2011 census result
–,Isle of Man (UK),"84,497",27-Mar-11,0.00%,2011 census result
185,Andorra,"78,014",31-Dec-15,0.00%,Annual official estimate
186,Dominica,"71,293",14-May-11,0.00%,Preliminary 2011 census result
–,Guernsey (UK),"63,001",30-Sep-15,0.00%,Official estimate
–,Bermuda (UK),"61,954",1-Jul-13,0.00%,Official estimate
–,Cayman Islands (UK),"60,413",31-Dec-15,0.00%,Official estimate
–,American Samoa (U.S.),"57,100",1-Jul-15,0.00%,Annual official estimate
–,Northern Mariana Islands (U.S.),"56,940",1-Jul-15,0.00%,Annual official estimate
–,Greenland (Denmark),"56,186",1-Jul-16,0.00%,Annual official estimate
187,Marshall Islands,"54,880",1-Jul-15,0.00%,Annual official estimate
–,South Ossetia,"53,559",15-Oct-15,0.00%,Official estimate
–,Faroe Islands (Denmark),"49,755",1-Aug-16,0.00%,Monthly official estimate
188,Saint Kitts and Nevis,"46,204",15-May-11,0.00%,2011 census result
189,Monaco,"38,400",31-Dec-15,0.00%,Annual official estimate
–,Sint Maarten (Netherlands),"38,247",1-Jan-15,0.00%,Official estimate
190,Liechtenstein,"37,623",31-Dec-15,0.00%,Semi annual official estimate
–,Flag of Saint-Martin (fictional).svg Saint-Martin (France),"36,457",1-Jan-15,0.00%,Annual official estimate
–,Gibraltar (UK),"33,140",31-Dec-14,0.00%,Annual official estimate
191,San Marino,"33,005",31-Dec-15,0.00%,Monthly official estimate
–,Turks and Caicos Islands (UK),"31,458",25-Jan-12,0.00%,2012 census result
–,British Virgin Islands (UK),"28,514",1-Jul-13,0.00%,Official estimate
–,Flag of Bonaire.svg Bonaire (Netherlands),"18,905",1-Jan-15,0.00%,Official estimate
–,Cook Islands,"18,100",1-Mar-16,0.00%,Official quarterly estimate
192,Palau,"17,950",1-Jul-15,0.00%,Annual official estimate
–,Anguilla (UK),"13,452",11-May-11,0.00%,Preliminary 2011 census result
–,Wallis and Futuna (France),"11,750",1-Jul-15,0.00%,Annual official estimate
193,Tuvalu,"10,640",4-Nov-12,0.00%,2012 census result
194,Nauru,"10,084",30-Oct-11,0.00%,2011 census result
–,Saint Barthélemy (France),"9,417",1-Jan-15,0.00%,Annual official estimate
–,Saint Pierre and Miquelon (France),"6,286",1-Jan-15,0.00%,Annual official estimate
–,Montserrat (UK),"4,922",12-May-11,0.00%,2011 census result
–,"Flag of Saint Helena.svg Saint Helena, Ascension and Tristan da Cunha (UK)","4,255",10-Feb-08,0.00%,2008 census result
–,Flag of Sint Eustatius.svg Sint Eustatius (Netherlands),"3,877",1-Jan-15,0.00%,Official estimate
–,Falkland Islands (UK),"2,563",15-Apr-12,0.00%,2012 census result
–,Norfolk Island (Australia),"2,302",9-Aug-11,0.00%,2011 census result
–,Christmas Island (Australia),"2,072",9-Aug-11,0.00%,2011 census result
–,Flag of Saba.svg Saba (Netherlands),"1,811",1-Jan-15,0.00%,Official estimate
–,Niue,"1,470",1-Jul-15,0.00%,Annual official estimate
–,Tokelau (NZ),"1,411",18-Oct-11,0.00%,2011 census result
195,Vatican City,842,1-Jan-14,0.00%,Official estimate
–,Cocos (Keeling) Islands (Australia),550,9-Aug-11,0.00%,2011 census result
–,Pitcairn Islands (UK),57,1-Jul-14,0.00%,Official estimate
